Postal Code,Number of Charging Stations
98052,27
98033,20
98004,116
98115,6
98006,14
98012,2
98072,16
98040,11
98074,3
98034,15
98103,10
98075,5
98110,5
98059,2
98117,5
98501,28
98029,11
98053,1
98021,4
98112,3
98109,82
98027,19
98607,3
98105,23
98118,6
98008,6
98125,14
98122,14
98133,13
98155,3
98199,1
98144,7
98005,44
98038,0
98391,1
98026,3
98177,0
98258,2
98116,2
98107,12
98056,9
98042,5
98011,18
98058,4
98296,2
98119,13
98028,4
98229,3
98036,10
98208,3
98225,16
98007,14
98682,0
98335,6
98502,14
98290,6
98148,3
98092,2
98104,47
98226,13
98102,8
98642,20
98087,3
98020,7
98121,99
98136,3
98126,3
98031,1
98023,1
98685,1
98065,7
98275,3
98683,5
98370,9
98332,1
98106,7
98070,1
98270,2
98045,4
98001,8
98221,14
98272,5
98368,7
98108,14
98101,45
98516,6
98382,7
98146,0
98166,12
98661,12
98407,6
99352,6
98037,11
98374,7
98512,3
98671,1
98513,1
98019,0
98686,1
98032,7
98503,8
98312,7
98422,2
98178,0
98168,4
98223,9
98506,1
98466,0
98367,2
98604,0
98057,16
99301,10
98203,7
98684,7
98055,10
98250,9
98198,10
98662,10
98030,5
98282,1
99208,2
98277,2
98003,11
98188,35
98665,3
99223,0
98366,4
98406,3
98043,4
98292,1
98230,4
98664,2
98584,5
98801,17
98201,10
99362,20
98387,0
99203,0
98039,0
98014,0
98248,2
98371,8
98498,2
98245,3
99338,3
98271,9
98273,14
98372,4
98311,1
98632,5
98383,11
98022,2
98204,8
98467,1
98375,1
98338,0
98660,8
98606,0
98274,0
98362,7
99224,23
98010,0
99354,55
98024,1
98597,1
98908,3
98405,10
98404,3
98346,3
98260,3
98926,7
99337,1
98373,3
98837,6
98663,6
98802,2
99212,3
98002,12
98310,2
98236,0
98409,23
99336,4
98134,24
98329,0
98499,4
98826,11
98239,2
98321,0
98445,0
98531,5
99353,0
98532,1
98284,1
98249,1
99163,5
98922,4
98333,0
99016,1
99206,2
98264,3
99205,2
98629,0
98327,3
98390,3
99019,5
98388,1
98403,6
98444,4
98816,4
98408,3
98674,1
99004,0
98672,0
98902,1
98626,2
98528,2
98363,4
98233,6
98520,2
98360,0
98252,2
98261,4
98580,0
98294,1
98569,2
98402,16
98365,0
99216,6
98328,0
98446,2
98424,4
99202,5
99201,14
99037,1
98625,1
99026,0
98232,0
98579,2
99217,1
98465,1
99005,0
98901,9
98359,0
98349,0
98589,0
99218,4
98418,2
99207,1
98848,4
98942,0
98257,2
98051,0
98247,1
98380,0
98563,0
98077,0
98443,0
98640,0
98611,1
98524,0
98439,0
98392,1
98546,0
99006,1
99204,1
98354,0
98815,0
98903,0
98831,3
98281,0
98337,7
98047,1
98433,7
98648,1
98253,0
98550,0
99320,1
98596,0
98251,0
99021,1
98340,0
98541,1
99324,1
98279,1
99403,0
98944,3
98862,4
98342,0
98358,1
99114,3
98576,0
98376,0
98843,0
99022,1
99350,1
98823,1
98339,1
98262,0
98548,0
98592,1
98577,0
99344,1
99027,0
98612,2
98856,1
98675,0
98620,2
98940,0
99025,0
98303,0
99156,1
98325,1
98591,0
99003,0
98651,0
98930,0
98244,0
98240,1
98631,2
98237,1
98266,0
98936,0
98953,2
98645,0
98557,0
99009,0
99141,0
98828,0
98394,0
98925,0
98564,1
98937,1
99036,0
98635,0
99349,0
98588,0
98320,0
98571,1
99001,1
98595,1
98315,15
98822,1
98331,6
98610,1
98570,0
98847,0
98650,0
98601,0
98833,1
98638,0
98351,0
98855,1
99357,0
98068,2
98851,1
99328,3
99111,0
99109,0
98844,2
98568,0
98841,2
98286,0
98356,1
99323,0
98603,0
98941,0
98361,0
99169,3
98295,0
99161,0
99166,0
99011,2
98624,0
99148,0
99402,0
98948,1
98345,2
98504,0
99361,1
98537,0
98241,1
99115,1
99122,1
98812,0
98644,1
98547,0
99118,0
98590,1
98585,0
99031,0
98639,0
98357,3
98932,0
98617,0
99181,0
98304,4
99029,0
98220,0
98421,12
99023,0
98814,0
98542,0
98951,3
98947,0
99170,1
98840,0
99133,0
98846,0
98849,0
98355,0
99326,1
99030,0
99343,0
99126,0
98323,0
98538,0
99167,0
98396,0
98934,0
99360,0
98593,0
98850,0
98124,2
98647,0
98438,2
99185,0
99330,0
98858,0
99123,0
99347,0
98555,0
98377,0
98206,0
99173,0
98224,0
98582,0
98605,1
98562,2
99134,0
98649,0
98276,0
98288,3
99119,0
99033,0
98938,0
99008,0
99101,0
98586,0
98946,0
99129,0
98845,0
98583,0
98297,0
98533,0
98385,0
99113,0
98619,0
98587,0
98536,0
99180,0
98314,5
99013,0
98943,0
98832,0
98670,0
98830,0
99171,0
98401,0
98235,0
99341,0
98381,0
99130,0
99147,0
98267,3
98614,0
98857,0
98386,0
98834,0
99116,1
98616,1
98634,0
99125,0
99138,0
98560,0
99121,0
98336,0
99110,0
98575,1
99356,0
98853,0
98609,0
98227,0
98509,1
98643,0
98641,0
99348,0
98613,0
99131,0
98527,0
98935,0
99017,0
99012,0
98164,13
98417,0
98305,0
98158,0
98344,0
98581,0
98050,0
98243,0
98950,0
99018,0
99034,0
98952,1
99137,0
98621,0
98535,0
99159,0
98526,0
99135,0
99032,2
98572,0
98507,1
98263,0
98326,0
98283,2
98530,0
99179,0
