Census Year,Postal Code,Median Household Income,Income Per Capita,Population
2022,98901,55536,25237.0,33106
2022,98237,68929,31650.0,4979
2022,98201,71313,41730.0,30587
2022,98021,155891,67017.0,34993
2022,98203,96351,44288.0,36448
2022,98275,123036,62514.0,21365
2022,98236,91328,47720.0,6790
2022,98221,90007,52651.0,22969
2022,98516,89378,44259.0,27212
2022,98837,66883,32152.0,46959
2022,98579,91493,35279.0,14259
2022,98233,76590,39928.0,16952
2022,98271,98279,42888.0,30262
2022,98037,98570,42106.0,29720
2022,98026,118151,59741.0,39035
2022,99026,93534,42892.0,8828
2022,98502,85540,46116.0,35551
2022,98087,102896,44471.0,41849
2022,98125,89983,59167.0,43993
2022,98001,103338,44341.0,35842
2022,98115,141013,80879.0,54457
2022,98020,111803,83004.0,19323
2022,98260,94309,56915.0,5434
2022,98503,78508,37652.0,42263
2022,98501,92005,44020.0,46796
2022,98208,98805,45311.0,60723
2022,98296,171445,63610.0,27436
2022,98312,78664,41205.0,32288
2022,98036,90770,46971.0,42164
2022,98204,63738,33948.0,41709
2022,98902,56655,26887.0,45929
2022,98908,77767,36443.0,38671
2022,99163,43316,28499.0,33829
2022,99205,69055,33136.0,44216
2022,98392,80673,42547.0,3203
2022,98272,109051,43501.0,31866
2022,98382,69261,43747.0,30777
2022,98345,128221,63531.0,284
2022,98513,99787,43730.0,36988
2022,98038,135304,53372.0,37877
2022,98270,98912,40203.0,52794
2022,98031,98657,42893.0,41615
2022,98155,124531,60548.0,35550
2022,98370,103323,51171.0,32862
2022,98290,123819,55510.0,39873
2022,98052,158457,82929.0,77324
2022,98029,156427,84699.0,31227
2022,98632,61352,35400.0,50837
2022,98406,96755,53109.0,22994
2022,98926,65551,35423.0,32327
2022,98168,77935,36579.0,35050
2022,98329,103750,45027.0,11223
2022,98373,93201,42388.0,30096
2022,98074,229104,85759.0,31026
2022,98102,114026,99103.0,25827
2022,98595,59087,32762.0,2814
2022,98683,80946,46103.0,31504
2022,98011,124418,60001.0,27573
2022,99001,53517,21604.0,8684
2022,98075,234261,96356.0,25202
2022,98040,190985,113575.0,25464
2022,98292,96627,46719.0,25757
2022,98053,171822,93704.0,22765
2022,98110,151290,86747.0,24681
2022,98032,76683,38562.0,39126
2022,98112,153204,118391.0,23456
2022,98122,94548,81769.0,41268
2022,98116,129924,81954.0,27871
2022,98002,68040,33306.0,36812
2022,98822,83000,38981.0,1983
2022,98498,84878,48511.0,28256
2022,98391,122822,52478.0,56646
2022,98106,94762,50946.0,28243
2022,98402,57486,47533.0,7088
2022,98008,164219,76043.0,27060
2022,98663,77518,40940.0,15365
2022,99212,67975,35701.0,21013
2022,98033,163786,102001.0,40425
2022,98144,97953,74742.0,32540
2022,98446,95926,42658.0,13821
2022,98107,131559,90787.0,28170
2022,98059,126846,62388.0,41619
2022,98367,100428,45564.0,31186
2022,98225,61679,38898.0,49667
2022,98661,70277,40422.0,49910
2022,99354,85919,41346.0,25676
2022,98004,157784,117764.0,39161
2022,98282,97632,51349.0,17642
2022,98801,70800,37987.0,44801
2022,98103,122656,84147.0,51878
2022,98178,96875,48601.0,26760
2022,98258,113684,44831.0,50582
2022,98684,81493,37374.0,36931
2022,98686,101174,46805.0,20518
2022,98229,87946,46105.0,34157
2022,98580,106726,48286.0,11455
2022,98332,122869,66541.0,19708
2022,98101,111099,104261.0,16302
2022,98198,76062,40623.0,38942
2022,98177,153542,76323.0,21114
2022,98607,125650,56311.0,34877
2022,99338,120020,51961.0,18312
2022,98136,144659,80840.0,17420
2022,98366,85630,40671.0,37437
2022,98105,75214,58469.0,50302
2022,98058,106611,48549.0,42046
2022,98012,139474,58143.0,75555
2022,98166,105013,60283.0,22418
2022,99352,96615,53092.0,35618
2022,98118,106930,55109.0,48874
2022,98604,102933,40958.0,37212
2022,98685,121063,57667.0,30534
2022,98121,142926,110372.0,20562
2022,99362,63778,35063.0,43028
2022,98045,154803,70108.0,15412
2022,98006,185991,84234.0,39753
2022,98034,119806,62656.0,52636
2022,98056,102196,54164.0,36116
2022,98506,88512,48203.0,18968
2022,98030,85188,34364.0,38798
2022,98274,88494,43797.0,18360
2022,98335,119986,63748.0,28002
2022,98005,151297,87533.0,22030
2022,98674,86937,35350.0,15679
2022,98072,157963,79154.0,25034
2022,98524,107679,43984.0,4226
2022,98119,112865,91888.0,25906
2022,98065,175750,72625.0,15960
2022,98024,149044,64454.0,5066
2022,98374,106157,43548.0,45555
2022,98250,83929,65018.0,8953
2022,98117,166029,88179.0,36115
2022,98281,74400,73318.0,1249
2022,98327,106695,50942.0,9955
2022,98109,124408,104635.0,32251
2022,98077,169573,79258.0,14287
2022,98611,83207,35206.0,9341
2022,98230,79789,41146.0,18605
2022,98682,88697,38792.0,66821
2022,99336,59688,29725.0,51329
2022,98027,140556,77106.0,27915
2022,99208,77241,42071.0,58172
2022,98108,90179,46395.0,23762
2022,99202,57083,28613.0,20829
2022,98356,53139,27157.0,2367
2022,98368,61924,43442.0,17046
2022,98941,64500,41980.0,827
2022,98028,132191,67261.0,23611
2022,98042,122709,51663.0,49338
2022,98003,67547,34070.0,51329
2022,98383,105580,50901.0,22764
2022,98133,85059,52308.0,50921
2022,98199,168132,92319.0,22359
2022,98039,244740,156124.0,2923
2022,98055,90525,43779.0,24429
2022,98022,112818,57964.0,22163
2022,98273,71498,34784.0,30430
2022,98843,63476,51752.0,2243
2022,98930,66806,23306.0,15089
2022,98953,79922,31249.0,7043
2022,98372,94144,44664.0,26470
2022,98070,103222,61597.0,10939
2022,98465,73259,53769.0,7528
2022,98672,86250,50440.0,6997
2022,98662,86171,39877.0,37064
2022,98104,63621,53546.0,15052
2022,98466,89047,47858.0,30405
2022,98126,108072,65505.0,21102
2022,98802,88816,43048.0,31801
2022,98847,63917,33078.0,2481
2022,98546,89000,45202.0,2965
2022,98388,94708,46596.0,7051
2022,99224,73250,44829.0,24455
