Zipcode ID,Census Year,WA Zipcode,Median Household Income,Income Per Capita,Population
0,2020,98901,45062,22108,31425
1,2020,98237,58063,29153,4762
2,2020,98201,59357,34624,30645
3,2020,98021,129215,55780,33382
4,2020,98203,80556,37589,35901
5,2020,98275,102818,52980,21432
6,2020,98236,85943,43991,6140
7,2020,98221,77036,44908,22290
8,2020,98516,83249,39444,25332
9,2020,98837,60793,27815,43952
10,2020,98579,77108,31795,12845
11,2020,98233,65336,32481,16324
12,2020,98271,83047,38363,28473
13,2020,98037,82667,35570,29977
14,2020,98026,98415,50397,38292
15,2020,99026,81701,35411,8714
16,2020,98502,74031,37967,35307
17,2020,98087,87320,36303,41594
18,2020,98125,78263,47074,44030
19,2020,98001,88962,35620,34455
20,2020,98115,117038,66166,55519
21,2020,98020,95682,66367,19010
22,2020,98260,86027,46990,6024
23,2020,98503,66021,31904,42119
24,2020,98501,78324,37728,43584
25,2020,98208,90844,38008,58211
26,2020,98296,143106,52416,30781
27,2020,98312,68195,34277,30437
28,2020,98036,82684,39797,40784
29,2020,98204,57318,27751,44152
30,2020,98902,47283,22314,46728
31,2020,98908,67016,34397,37004
32,2020,99163,33977,22345,36052
33,2020,99205,56467,27798,43707
34,2020,98392,69583,37103,3059
35,2020,98272,95190,35153,30801
36,2020,98382,56392,36327,29214
37,2020,98345,47650,41433,339
38,2020,98513,87145,37916,36473
39,2020,98038,114804,46264,36157
40,2020,98270,84957,34906,52307
41,2020,98031,82241,33041,38163
42,2020,98155,107109,48252,35420
43,2020,98370,85299,42643,32044
44,2020,98290,104091,45197,37077
45,2020,98052,136208,66354,71940
46,2020,98029,134424,70589,29956
47,2020,98632,51188,29443,52489
48,2020,98406,82732,45978,23052
49,2020,98926,59415,30152,34893
50,2020,98168,66237,29620,33217
51,2020,98329,95769,39684,11063
52,2020,98373,79943,36847,27196
53,2020,98074,196146,73438,29349
54,2020,98102,97374,81654,25887
55,2020,98595,53750,29566,2716
56,2020,98683,71835,40282,31676
57,2020,98011,103421,47663,34201
58,2020,99001,54489,18031,7330
59,2020,98075,188500,74994,24435
60,2020,98040,150506,95368,25820
61,2020,98292,84489,42170,23063
62,2020,98053,151525,77178,22911
63,2020,98110,125861,66883,24859
64,2020,98032,62620,30669,38478
65,2020,98112,122388,100899,25694
66,2020,98122,81308,64120,41152
67,2020,98116,121967,70540,28705
68,2020,98002,59097,28275,33947
69,2020,98822,47000,27598,1798
70,2020,98498,72711,35619,28764
71,2020,98391,104406,44313,52686
72,2020,98106,74608,40311,27997
73,2020,98402,57083,40289,6920
74,2020,98008,131952,63732,25650
75,2020,98663,62835,32663,15406
76,2020,99212,59643,31615,21191
77,2020,98033,137378,80189,39802
78,2020,98144,87098,60209,33175
79,2020,98446,85875,35594,11945
80,2020,98107,102436,73797,28025
81,2020,98059,109565,50115,40693
82,2020,98367,88722,38866,30447
83,2020,98225,53093,30897,51606
84,2020,98661,59466,34016,48485
85,2020,99354,71546,35166,23891
86,2020,98004,142173,99774,37265
87,2020,98282,85811,47143,17073
88,2020,98801,62595,32671,43799
89,2020,98103,105480,66220,54194
90,2020,98178,84820,41777,26507
91,2020,98258,96165,37009,33545
92,2020,98684,71667,32559,31805
93,2020,98686,86543,37997,20059
94,2020,98229,75099,37985,33548
95,2020,98580,80864,38015,11495
96,2020,98332,102352,58131,18940
97,2020,98101,91550,86176,14380
98,2020,98198,66938,35144,38699
99,2020,98177,125036,66503,20422
100,2020,98607,109621,47370,32897
101,2020,99338,117286,48844,18473
102,2020,98136,123042,68319,17083
103,2020,98366,70330,34620,35523
104,2020,98105,67449,46609,52290
105,2020,98058,92216,39504,43482
106,2020,98012,118544,47639,70009
107,2020,98166,87882,51304,21772
108,2020,99352,81471,44075,32246
109,2020,98118,85541,43201,49702
110,2020,98604,86980,35523,37333
111,2020,98685,106059,48872,29788
112,2020,98121,118270,94272,20534
113,2020,99362,60413,30221,41779
114,2020,98045,111767,52834,15174
115,2020,98006,156382,69008,37473
116,2020,98034,100955,52343,45009
117,2020,98056,95074,50903,36625
118,2020,98506,76835,42304,18404
119,2020,98030,71014,29912,37411
120,2020,98274,79127,38656,18346
121,2020,98335,109031,54714,27098
122,2020,98005,135225,75452,21414
123,2020,98674,75487,30634,14869
124,2020,98072,127724,62971,24865
125,2020,98524,93894,36853,4220
126,2020,98119,93014,77713,26898
127,2020,98065,150015,58033,15896
128,2020,98024,158168,59151,6635
129,2020,98374,88882,37478,44293
130,2020,98250,71567,52817,8318
131,2020,98117,131508,69807,36647
132,2020,98281,52692,52537,1100
133,2020,98327,93405,46678,9514
134,2020,98109,107330,84375,31011
135,2020,98077,160441,74887,14407
136,2020,98611,64829,28287,8803
137,2020,98230,69060,37448,17910
138,2020,98682,76299,32703,63768
139,2020,99336,52158,25696,52259
140,2020,98027,121620,63623,30240
141,2020,99208,65647,34547,55092
142,2020,98108,62530,35145,24034
143,2020,99202,47102,23019,21488
144,2020,98356,42386,20491,2016
145,2020,98368,56141,38934,16070
146,2020,98941,54917,29649,608
147,2020,98028,115093,56914,22953
148,2020,98042,105166,44170,49118
149,2020,98003,59560,30059,49445
150,2020,98383,88893,44396,22825
151,2020,98133,73702,44104,49476
152,2020,98199,134709,76110,23444
153,2020,98039,185163,125333,3283
154,2020,98055,80586,37198,24077
155,2020,98022,90223,45726,21296
156,2020,98273,64699,28874,31725
157,2020,98843,56168,28956,2185
158,2020,98930,52145,20032,15263
159,2020,98953,70689,26945,6461
160,2020,98372,81776,38380,26823
161,2020,98070,78368,51999,10400
162,2020,98465,59163,43560,6656
163,2020,98672,68594,36807,7256
164,2020,98662,71059,31716,33798
165,2020,98104,58018,53867,15155
166,2020,98466,74179,41049,29401
167,2020,98126,84934,52339,22681
168,2020,98802,71093,35709,31626
169,2020,98847,52442,22831,2295
170,2020,98546,75707,39908,3225
171,2020,98388,85083,37879,6682
172,2020,99224,66936,39917,22172
173,2020,98390,70374,36993,11155
174,2020,99337,77854,32752,32080
175,2020,99016,70635,39270,15437
176,2020,98584,60388,28294,37698
177,2020,98404,57813,24766,36749
178,2020,98532,66685,29359,25534
179,2020,99223,75933,45003,32750
180,2020,98444,52589,23776,35604
181,2020,98571,-666666666,15286,214
182,2020,98247,61213,26408,9105
183,2020,98443,95851,43541,5335
184,2020,98010,125652,54896,5882
185,2020,98407,86594,51427,21316
186,2020,98639,73145,35424,855
187,2020,98665,69524,33641,27260
188,2020,98007,101847,54729,28147
189,2020,98239,71121,40130,7679
190,2020,98380,95443,37253,4296
191,2020,98223,83116,39163,46027
192,2020,98512,78845,39300,30833
193,2020,99161,76625,39605,1278
194,2020,98232,88551,46984,4259
195,2020,98023,82566,35647,50176
196,2020,98092,96121,40607,48962
197,2020,98310,58636,31882,20431
198,2020,98349,73308,33668,5090
199,2020,98467,76904,38669,15381
200,2020,98311,80439,34501,28042
201,2020,98226,67142,35045,45380
202,2020,98922,61071,35616,7630
203,2020,98675,78047,32262,7604
